,Poster,Time,T2,Title,Author,ID,Date,Session
337,46,14:00,2:00,Online Joint Multi-Metric Adaptation From Frequent Sharing-Subset Mining for Person Re-Identification,"Jiahuan Zhou, Bing Su, Ying Wu",702,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
338,47,14:00,2:00,Taking a Deeper Look at Co-Salient Object Detection,"Deng-Ping Fan, Zheng Lin, Ge-Peng Ji, Dingwen Zhang, Huazhu Fu, Ming-Ming Cheng",708,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
339,48,14:00,2:00,Single-Stage 6D Object Pose Estimation,"Yinlin Hu, Pascal Fua, Wei Wang, Mathieu Salzmann",725,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
340,49,14:00,2:00,OccuSeg: Occupancy-Aware 3D Instance Segmentation,"Lei Han, Tian Zheng, Lan Xu, Lu Fang",727,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
341,50,14:00,2:00,Camera Trace Erasing,"Chang Chen, Zhiwei Xiong, Xiaoming Liu, Feng Wu",809,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
342,51,14:00,2:00,Deep Metric Learning via Adaptive Learnable Assessment,"Wenzhao Zheng, Jiwen Lu, Jie Zhou",916,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
343,52,14:00,2:00,Deep Representation Learning on Long-Tailed Data: A Learnable Embedding Augmentation Perspective,"Jialun Liu, Yifan Sun, Chuchu Han, Zhaopeng Dou, Wenhui Li",927,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
344,53,14:00,2:00,Fantastic Answers and Where to Find Them: Immersive Question-Directed Visual Attention,"Ming Jiang, Shi Chen, Jinhui Yang, Qi Zhao",1016,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
345,54,14:00,2:00,HUMBI: A Large Multiview Dataset of Human Body Expressions,"Zhixuan Yu, Jae Shin Yoon, In Kyu Lee, Prashanth Venkatesh, Jaesik Park, Jihun Yu, Hyun Soo Park",1022,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
346,55,14:00,2:00,Image Search With Text Feedback by Visiolinguistic Attention Learning,"Yanbei Chen, Shaogang Gong, Loris Bazzani",1086,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
347,56,14:00,2:00,Image Processing Using Multi-Code GAN Prior,"Jinjin Gu, Yujun Shen, Bolei Zhou",1107,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
348,57,14:00,2:00,What Does Plate Glass Reveal About Camera Calibration?,"Qian Zheng, Jinnan Chen, Zhan Lu, Boxin Shi, Xudong Jiang, Kim-Hui Yap, Ling-Yu Duan, Alex C. Kot",1131,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
349,58,14:00,2:00,Zero-Assignment Constraint for Graph Matching With Outliers,"Fudong Wang, Nan Xue, Jin-Gang Yu, Gui-Song Xia",1149,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
350,59,14:00,2:00,Cascaded Deep Video Deblurring Using Temporal Sharpness Prior,"Jinshan Pan, Haoran Bai, Jinhui Tang",1189,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
351,60,14:00,2:00,JL-DCF: Joint Learning and Densely-Cooperative Fusion Framework for RGB-D Salient Object Detection,"Keren Fu, Deng-Ping Fan, Ge-Peng Ji, Qijun Zhao",1303,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
352,61,14:00,2:00,From Fidelity to Perceptual Quality: A Semi-Supervised Approach for Low-Light Image Enhancement,"Wenhan Yang, Shiqi Wang, Yuming Fang, Yue Wang, Jiaying Liu",1330,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
353,62,14:00,2:00,Unsupervised Adaptation Learning for Hyperspectral Imagery Super-Resolution,"Lei Zhang, Jiangtao Nie, Wei Wei, Yanning Zhang, Shengcai Liao, Ling Shao",1351,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
354,63,14:00,2:00,Central Similarity Quantization for Efficient Image and Video Retrieval,"Li Yuan, Tao Wang, Xiaopeng Zhang, Francis EH Tay, Zequn Jie, Wei Liu, Jiashi Feng",1425,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
355,64,14:00,2:00,ARCH: Animatable Reconstruction of Clothed Humans,"Zeng Huang, Yuanlu Xu, Christoph Lassner, Hao Li, Tony Tung",1506,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
356,65,14:00,2:00,A Model-Driven Deep Neural Network for Single Image Rain Removal,"Hong Wang, Qi Xie, Qian Zhao, Deyu Meng",1514,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
357,66,14:00,2:00,Novel Object Viewpoint Estimation Through Reconstruction Alignment,"Mohamed El Banani, Jason J. Corso, David F. Fouhey",1620,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
358,67,14:00,2:00,Creating Something From Nothing: Unsupervised Knowledge Distillation for Cross-Modal Hashing,"Hengtong Hu, Lingxi Xie, Richang Hong, Qi Tian",1730,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
359,68,14:00,2:00,Evaluating Weakly Supervised Object Localization Methods Right,"Junsuk Choe, Seong Joon Oh, Seungho Lee, Sanghyuk Chun, Zeynep Akata, Hyunjung Shim",1741,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
360,69,14:00,2:00,Style Normalization and Restitution for Generalizable Person Re-Identification,"Xin Jin, Cuiling Lan, Wenjun Zeng, Zhibo Chen, Li Zhang",1759,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
361,70,14:00,2:00,"Reconstruct Locally, Localize Globally: A Model Free Method for Object Pose Estimation","Ming Cai, Ian Reid",1779,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
362,71,14:00,2:00,RoboTHOR: An Open Simulation-to-Real Embodied AI Platform,"Matt Deitke, Winson Han, Alvaro Herrasti, Aniruddha Kembhavi, Eric Kolve, Roozbeh Mottaghi, Jordi Salvador, Dustin Schwenk, Eli VanderBilt, Matthew Wallingford, Luca Weihs, Mark Yatskar, Ali Farhadi",1942,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
363,72,14:00,2:00,All in One Bad Weather Removal Using Architectural Search,"Ruoteng Li, Robby T. Tan, Loong-Fah Cheong",2002,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
364,73,14:00,2:00,Relation-Aware Global Attention for Person Re-Identification,"Zhizheng Zhang, Cuiling Lan, Wenjun Zeng, Xin Jin, Zhibo Chen",2149,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
365,74,14:00,2:00,HOnnotate: A Method for 3D Annotation of Hand and Object Poses,"Shreyas Hampali, Mahdi Rad, Markus Oberweger, Vincent Lepetit",2206,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
366,75,14:00,2:00,Celeb-DF: A Large-Scale Challenging Dataset for DeepFake Forensics,"Yuezun Li, Xin Yang, Pu Sun, Honggang Qi, Siwei Lyu",2280,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
367,76,14:00,2:00,Deep Unfolding Network for Image Super-Resolution,"Kai Zhang, Luc Van Gool, Radu Timofte",2378,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
368,77,14:00,2:00,On the Uncertainty of Self-Supervised Monocular Depth Estimation,"Matteo Poggi, Filippo Aleotti, Fabio Tosi, Stefano Mattoccia",2583,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
369,78,14:00,2:00,Proxy Anchor Loss for Deep Metric Learning,"Sungyeon Kim, Dongwon Kim, Minsu Cho, Suha Kwak",2584,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
370,79,14:00,2:00,Unsupervised Learning for Intrinsic Image Decomposition From a Single Image,"Yunfei Liu, Yu Li, Shaodi You, Feng Lu",2640,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
371,80,14:00,2:00,Multi-Domain Learning for Accurate and Few-Shot Color Constancy,"Jin Xiao, Shuhang Gu, Lei Zhang",2803,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
372,81,14:00,2:00,PANDA: A Gigapixel-Level Human-Centric Video Dataset,"Xueyang Wang, Xiya Zhang, Yinheng Zhu, Yuchen Guo, Xiaoyun Yuan, Liuyu Xiang, Zerun Wang, Guiguang Ding, David Brady, Qionghai Dai, Lu Fang",2804,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
373,82,14:00,2:00,Cross-View Tracking for Multi-Human 3D Pose Estimation at Over 100 FPS,"Long Chen, Haizhou Ai, Rui Chen, Zijie Zhuang, Shuang Liu",2817,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
374,83,14:00,2:00,Spatial-Temporal Graph Convolutional Network for Video-Based Person Re-Identification,"Jinrui Yang, Wei-Shi Zheng, Qize Yang, Ying-Cong Chen, Qi Tian",4237,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
375,84,14:00,2:00,Salience-Guided Cascaded Suppression Network for Person Re-Identification,"Xuesong Chen, Canmiao Fu, Yong Zhao, Feng Zheng, Jingkuan Song, Rongrong Ji, Yi Yang",4240,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
376,85,14:00,2:00,Fashion Outfit Complementary Item Retrieval,"Yen-Liang Lin, Son Tran, Larry S. Davis",4296,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
377,86,14:00,2:00,Learning Event-Based Motion Deblurring,"Zhe Jiang, Yu Zhang, Dongqing Zou, Jimmy Ren, Jiancheng Lv, Yebin Liu",4330,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
378,87,14:00,2:00,Domain Decluttering: Simplifying Images to Mitigate Synthetic-Real Domain Shift and Improve Depth Estimation,"Yunhan Zhao, Shu Kong, Daeyun Shin, Charless Fowlkes",4343,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
379,88,14:00,2:00,Neural Blind Deconvolution Using Deep Priors,"Dongwei Ren, Kai Zhang, Qilong Wang, Qinghua Hu, Wangmeng Zuo",4380,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
380,89,14:00,2:00,Anisotropic Convolutional Networks for 3D Semantic Scene Completion,"Jie Li, Kai Han, Peng Wang, Yu Liu, Xia Yuan",4505,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
381,90,14:00,2:00,TDAN: Temporally-Deformable Alignment Network for Video Super-Resolution,"Yapeng Tian, Yulun Zhang, Yun Fu, Chenliang Xu",4537,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
382,91,14:00,2:00,Zooming Slow-Mo: Fast and Accurate One-Stage Space-Time Video Super-Resolution,"Xiaoyu Xiang, Yapeng Tian, Yulun Zhang, Yun Fu, Jan P. Allebach, Chenliang Xu",4539,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
383,92,14:00,2:00,Fast MSER,"Hailiang Xu, Siqi Xie, Fan Chen",4558,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
384,93,14:00,2:00,Unsupervised Person Re-Identification via Softened Similarity Learning,"Yutian Lin, Lingxi Xie, Yu Wu, Chenggang Yan, Qi Tian",4598,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
385,94,14:00,2:00,COCAS: A Large-Scale Clothes Changing Person Dataset for Re-Identification,"Shijie Yu, Shihua Li, Dapeng Chen, Rui Zhao, Junjie Yan, Yu Qiao",4702,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
386,95,14:00,2:00,Learning Formation of Physically-Based Face Attributes,"Ruilong Li, Karl Bladin, Yajie Zhao, Chinmay Chinara, Owen Ingraham, Pengda Xiang, Xinglei Ren, Pratusha Prasad, Bipin Kishore, Jun Xing, Hao Li",4724,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
387,96,14:00,2:00,Generalized Product Quantization Network for Semi-Supervised Image Retrieval,"Young Kyun Jang, Nam Ik Cho",4763,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
388,97,14:00,2:00,Stereoscopic Flash and No-Flash Photography for Shape and Albedo Recovery,"Xu Cao, Michael Waechter, Boxin Shi, Ye Gao, Bo Zheng, Yasuyuki Matsushita",4814,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
389,98,14:00,2:00,Context-Aware Group Captioning via Self-Attention and Contrastive Features,"Zhuowan Li, Quan Tran, Long Mai, Zhe Lin, Alan L. Yuille",5035,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
390,99,14:00,2:00,MEBOW: Monocular Estimation of Body Orientation in the Wild,"Chenyan Wu, Yukun Chen, Jiajia Luo, Che-Chun Su, Anuja Dawane, Bikramjot Hanzra, Zhuo Deng, Bilan Liu, James Z. Wang, Cheng-hao Kuo",5038,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
391,100,14:00,2:00,Distilling Image Dehazing With Heterogeneous Task Imitation,"Ming Hong, Yuan Xie, Cuihua Li, Yanyun Qu",5127,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
392,101,14:00,2:00,"Select, Supplement and Focus for RGB-D Saliency Detection","Miao Zhang, Weisong Ren, Yongri Piao, Zhengkun Rong, Huchuan Lu",5177,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
393,102,14:00,2:00,Transfer Learning From Synthetic to Real-Noise Denoising With Adaptive Instance Normalization,"Yoonsik Kim, Jae Woong Soh, Gu Yong Park, Nam Ik Cho",5181,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
394,103,14:00,2:00,"On Joint Estimation of Pose, Geometry and svBRDF From a Handheld Scanner","Carolin Schmitt, Simon Donné, Gernot Riegler, Vladlen Koltun, Andreas Geiger",5243,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
395,104,14:00,2:00,Differentiable Volumetric Rendering: Learning Implicit 3D Representations Without 3D Supervision,"Michael Niemeyer, Lars Mescheder, Michael Oechsle, Andreas Geiger",5290,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
396,105,14:00,2:00,Meta-Transfer Learning for Zero-Shot Super-Resolution,"Jae Woong Soh, Sunwoo Cho, Nam Ik Cho",5375,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
397,106,14:00,2:00,Solving Jigsaw Puzzles With Eroded Boundaries,"Dov Bridger, Dov Danon, Ayellet Tal",5479,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
398,107,14:00,2:00,Context-Aware Attention Network for Image-Text Retrieval,"Qi Zhang, Zhen Lei, Zhaoxiang Zhang, Stan Z. Li",5627,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
399,108,14:00,2:00,M-LVC: Multiple Frames Prediction for Learned Video Compression,"Jianping Lin, Dong Liu, Houqiang Li, Feng Wu",6094,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
400,109,14:00,2:00,Efficient Dynamic Scene Deblurring Using Spatially Variant Deconvolution Network With Optical Flow Guided Training,"Yuan Yuan, Wei Su, Dandan Ma",6249,"Date: Tuesday, June 16 & Wednesday, June 17 2020 Q&A Time: 1400–1600 and 0200–0400",Session: Poster 1.3 — 3D From a Single Image and Shape-From-X; 3D From Multiview and Sensors; Image Retrieval; Datasets and Evaluation; Low-Level and Physics-Based Vision
